place_id,review_id_hash,rating,published_at_date,english_review,sentiment,label
ChIJP59hwPZZei4RWxV5QaUdI9Q,6068ca663d36cc496abcadda5247d9b3,1,2024-04-12,"There are so many minuses here, gosh, it makes you feel uncomfortable 1. Ordered a place long ago when we arrived, but it wasnt even at the place booked 2. Employees hah hoh 3. Food makes you laugh (?) How come the grilled chicken is tough, its crispy chicken tasted well, not grilled 4. Employee admits hes been driving but when hes given a look he looks away (Employee is funny, bro, wearing glasses) 5. The employees are really sorry, they have BB (body odor): The only plus is that the place is pretty good,",0,1
ChIJ69nF8vj1aS4RTVTNGQ53b2M,dff5dd61edcec744156564b2a32f7248,2,2020-05-10,The place is too narrow even just to sit. Not prioritizing women being able to sit. The waiter was not friendly and did not provide a detailed explanation of the product (for those allergic to lactos),0,1
ChIJJQMtxiX1QS4Rg6-KrRAZPz4,c487ec1aee133ef98606c8f97b737c08,2,2022-05-14,Service is very slow.,0,1
ChIJxRPDHnRfei4Ro51qDoUz4eo,3f29c35cf03504cb90e835a5d9e0ad51,3,2023-05-12,"Prices are slightly above average. The taste of the food is not that special, its just ordinary. Drinks are pretty good. The river beside the restaurant is also not very clean. The air is still quite fresh because there are still lots of trees.",0,1
ChIJxYSAsZpNei4Rt5WhjBoFvX8,c0e397b8f011aed302af9e33062f27e2,3,2021-05-12,Pretty good,0,0
ChIJKbk2df2_eS4RYSTEx_IIZDI,b1ef4ad6cc38b46fdacbfd2868dfada9,3,2024-03-14,"I was a local tourist as a guest in Madiun and visited the Sleko food court. And ordered food and enjoyed it there but didnt feel comfortable because of the loud live music. If you can, just leave it out instead of not being entertaining or even annoying",0,1
ChIJs3p43-tbei4R-AJ_wt3n6SA,98fc62e7fd799995f918fdc3e4e8881a,2,2024-04-12,"the atmosphere is nice, the service is friendly, the prayer room is clean, the parking is spacious and the food is delicious. but the cutlery wasnt clean enough, I got 2 cockroaches on my food plate. In the future, cleanliness must be paid more attention and improved. especially cleanliness of food utensils",0,1
ChIJ-xl6PpoNeC4RAgPerfo87R4,492580eedd65b01f81775142ffbd85c5,3,2024-05-10,Food stock is limited... Queuing is terrible... service is slow,0,1
ChIJDfQ4c6-LQS4RYNO9FGh6bc0,6e467a187fb05bb57e4e0ce8e8a6147e,3,2021-05-14,okay yeah,0,0
ChIJz59fBLMXei4R0coI_srgGW0,b254bdbeed568c19b535f4e929505707,2,2024-05-01,Jauh2 ke sini sampai 2x yg pertama ayamnya habis dtg lagi yg ke2 eh nasinya yg gantian habis    sayang sekali kok tdl di prepare lebih baik supaya tdk kecewakan customer,0,1
